0	0
0.02	4.16021e-05
0.04	9.18463e-05
0.06	0.000156297
0.08	0.000241851
0.1	0.000357176
0.12	0.000513206
0.14	0.000723703
0.16	0.00100587
0.18	0.00138104
0.2	0.00187537
0.22	0.00252065
0.24	0.00335502
0.26	0.00442378
0.28	0.00578008
0.3	0.0074856
0.32	0.00961102
0.34	0.0122365
0.36	0.0154517
0.38	0.0193558
0.4	0.0240572
0.42	0.0296727
0.44	0.0363267
0.46	0.0441497
0.48	0.0532765
0.5	0.0638444
0.52	0.0759905
0.54	0.0898496
0.56	0.105551
0.58	0.123215
0.6	0.14295
0.62	0.164852
0.64	0.188996
0.66	0.21544
0.68	0.244217
0.7	0.275337
0.72	0.308781
0.74	0.344506
0.76	0.382439
0.78	0.422479
0.8	0.464499
0.82	0.508346
0.84	0.553843
0.86	0.600792
0.88	0.648976
0.9	0.698165
0.92	0.748114
0.94	0.798573
0.96	0.849286
0.98	0.9
